Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
70715,"Poľnohospodárske družstvo Branisko v Širokom,
Mäsovýroba Hrabkov",Hrabkov,Prešov,Prešovský,PP,"CP, CS, PP",P,"mp, rafg"
2035,Poľnohospodárske družstvo Hlohovec,Hlohovec,Hlohovec,Trnavský,PP,"CP,CS,PP,
SH",P,"mp, rafg"
2041,Poľnohospodárske družstvo Chtelnica,Chtelnica,Piešťany,Trnavský,PP,"CP,CS,PP,
SH",P,"mp, rafg"
5052,"Poľnohospodárske  družstvo  Lisková  -  Sliače,
družstvo",Lisková,Ružomberok,Žilinský,PP,"CP,CS,PP,
SH",P,"mp, rafg"
61115,POZANA MEAT s.r.o.,Zvolen,Zvolen,Banskobystrický,PP,"CS, PP",P,"rafg, mp"
3084,PÚCHOVSKÝ GAZDA s.r.o.,Púchov,Púchov,Trenčiansky,PP,"CS, MP, PP",P,"mp, rafg"
3081,Púchovský mäsový priemysel a.s.Púchov,Púchov,Púchov,Trenčiansky,PP,"CP,CS,MP,
PP",P,"mp, rafg"
4036,"REFKA, s.r.o., bitúnok Mojmírovce",Mojmírovce,Nitra,Nitriansky,PP,"CS, PP",P,"mp, rafg"
3010,Róbert Šiko - Mäso-údeniny,"Bánovcenad
Bebravou","Bánovce
nad
Bebravou",Trenčiansky,PP,"CP, CS, PP",P,"mp, rafg"
8116,"Rozrábka a výroba mäsových výrobkov, FBR s. r.
o.","Kráľovský
Chlmec",Trebišov,Košický,PP,"CP,CS,MP,
PP",P,"mp, rafg"
7101,SEPP trade. s.r.o.,Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,PP,"CP,CS,PP,
RW, SH",P,"mp,  rafg,
st"
5054,"SilviaJánošíková-RUDOLFJÁNOŠÍK
MÄSOPRODUKT",Ružomberok,Ružomberok,Žilinský,PP,"CP, CS, PP",P,"mp, rafg"
5087,Simona Andreidesová - FARMA FÉNIX,Ružomberok,Ružomberok,Žilinský,PP,"CP, CS, PP",P,"mp, rafg"
5114,"SOBČIAK, spol. s r. o.","Žilina-
Závodie",Žilina,Žilinský,PP,"CP, CS, PP",P,"mp, rafg"
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,PP,"CP, CS,  GHE,
MM, MP, PP",P,"mp, rafg"
8101,"Stanica výkrmnosti a jatočnej hodnoty ošípaných,
s.r.o.","Spišské
Vlachy","Spišská
Nová Ves",Košický,PP,"CP,CS,PP,
SH",P,"mp, rafg"
3031,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,PP,"CP, CS, SH",P,"rafg,  bl,,
st"
7072,"ŠAGÁT, spol.s r.o.",Malý Šariš,Prešov,Prešovský,PP,"CP, CS",P,"mp, rafg"
4043,Tibor Kovács - K & K mäso,Nová Vieska,Nové Zámky,Nitriansky,PP,"CP, CS, PP",P,"mp, rafg"
616,"V.M.MARLEX, s.r.o.","Kysucké  Nové
Mesto","Kysucké
Nové Mesto",Žilinský,PP,"CP,CS,MP,
PP, RW",P,"mp, rafg"
30718,"Viawork.eu, s.r.o.","Diviacka  Nová
Ves",Prievidza,Trenčiansky,PP,"CP,CS,MP,
PP, RW",P,"mp,  rafg,
st"
1080,"VÍNO MATYŠÁK, s.r.o.",Pezinok,Pezinok,Bratislavský,PP,"CP, CS, PP",P,"mp, rafg"
3077,"VJARSPOL, s.r.o.","Nitrianske
Pravno",Prievidza,Trenčiansky,PP,"CP, PP, SH",P,"mp, rafg"
6021,Vladimír Stračina MÄSIAR - ÚDENÁR,Banská Belá,"Banská
Štiavnica",Banskobystrický,PP,"CP, CS,  GHE,
PP",P,"mp, rafg"
5077,Anton Skurčák,"Oravská
Polhora",Námestovo,Žilinský,MM,"CP,CS,MP,
PP","B, P","mp, rafg"
1060,"Berto sk, s. r. o.","Vysokápri
Morave",Malacky,Bratislavský,MM,"CP,CS,MP,
PP, RW",DU,mp
5027,"Bitúnok Čadca, s.r.o.",Čadca,Čadca,Žilinský,MM,"CP,CS,MP,
PP, RW, SH","A, DU","mp, rafg"
612,CIMBAĽÁK s.r.o.,Bardejov,Bardejov,Prešovský,MM,"CP,CS,MP,
PP","B, P",mp
8052,"DALTON, spol. s r.o.",Košice,Košice,Košický,MM,"CP,CS,MP,
PP, RW, SH","B, P","mp, rafg"
3065,"EKORAJ Ďurďové,  s.r.o.,  Mäsová  výroba,  farma
Ďurďové",Ďurďové,"Považská
Bystrica",Trenčiansky,MM,"CS, PP",B,mp
8051,"ERIK, s.r.o.",Košice,Košice,Košický,MM,"CP,CS,MP,
PP, RW","B, P","mp, rafg"
1065,"EuroGen, spol. s r.o.","Plavecké
Podhradie",Malacky,Bratislavský,MM,"CP,CS,MP,
PP","A, B, fG, L, P",mp
1063L,"GGH, s. r. o.",Kuchyňa,Malacky,Bratislavský,MM,"CP, CS, SH",B,
136,"H S H, spoločnosť s ručením obmedzeným",Veľké Zálužie,Nitra,Nitriansky,MM,"CP,CS,MP,
MSM, PP, SH","A,  L, wA, wL,
wU",mp
70713,HURKA s.r.o.,Prešov,Prešov,Prešovský,MM,"CP, MP, PP",DU,"mp, rafg"
198,HYDINA KUBUS s. r. o.,Veľký Slavkov,Poprad,Prešovský,MM,"CP,CS,RW,
SH",A,
7037,"HYDINA SK s. r. o., Rozrábkareň mäsa domácich
kopytníkov",Kežmarok,Kežmarok,Prešovský,MM,"CP,CS,MP,
RW",P,
4065,Igor Božik IB mäso,Vozokany,Topoľčany,Nitriansky,MM,"CP, CS, PP",P,"mp, rafg"
61111,"Ing. Peter Badiar - BONUM, bitúnok, rozrábkareň",Budča,Zvolen,Banskobystrický,MM,"CP,CS,MP,
SH",B,
8010,Ing. Stanislav Marcinek,Gelnica,Gelnica,Košický,MM,"CP,CS,PP,
SH","B, P","st,mp,
rafg"
26,ISTERMEAT a.s.,"Dunajská
Streda","Dunajská
Streda",Trnavský,MM,"CP,CS,MP,
PP, SH","B, P","rafg,  st,
mp"
5093,Mäsiarstvo PM,"Turčianske
Teplice","Turčianské
Teplice",Žilinský,MM,"CP,CS,MP,
PP","B, P","mp, rafg"
7064,Mäso - Tatry s. r. o.,"Spišská
Teplica",Poprad,Prešovský,MM,"CP,CS,MP,
PP","B, P","mp, rafg"
615,"Mäsokombinát NORD SVIT, s. r. o.",Svit,Poprad,Prešovský,MM,"CP,CS,MP,
PP, RW","B, P",mp
20512,Mäsovinky s.r.o.,Jablonica,Senica,Trnavský,MM,"CP, CS, PP",DU,"mp, rafg"
5065,Mäsovýroba Anton Kozák,Sučany,Martin,Žilinský,MM,"CP,CS,MP,
PP","A, B, O, P","mp, rafg"
51115,Mäsovýroba Bos Taurus,Žilina,Žilina,Žilinský,MM,"CP,CS,MP,
PP","B, P","mp, rafg"
7134,Rozrábkareň s malým objemom výroby,"Vranovnad
Topľou","Vranov
nad Topľou",Prešovský,MM,"CP, CS",B,
7071,"Ryba Košice s.r.o., rozrábka Lemešany",Lemešany,Prešov,Prešovský,MM,"CP, CS, MP",DU,
281,"Spiš Market, spol. s r. o.","Spišská  Nová
Ves","Spišská
Nová Ves",Košický,MM,"CS, MP, RW","A, B, P",
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,MM,"CP,  CS,  GHE,
MP, PP","B, C, fG, O, P,
wG, wU","mp, rafg"
8106,"TAURIS, a.s., prevádzkareň MäsoSpiš","Spišská  Nová
Ves","Spišská
Nová Ves",Košický,MM,"CS, MP, PP","A, B, P",mp
6092,"AGROTRADE, spol. s r.o.",Veľký Blh,"Rimavská
Sobota",Banskobystrický,MP,"CP, CS, PP",DU,mp
5077,Anton Skurčák,"Oravská
Polhora",Námestovo,Žilinský,MP,"CP,  CS,  MM,
PP","B, P","mp, rafg"
51110,"ATLANTA Žilina 1992, s. r. o.",Žilina,Žilina,Žilinský,MP,"CP, CS, PP",DU,"mp, rafg"
1060,"Berto sk, s. r. o.","Vysokápri
Morave",Malacky,Bratislavský,MP,"CP,  CS,  MM,
PP, RW",DU,mp
3066,"Biely potok, a. s.",Tŕstie,"Považská
Bystrica",Trenčiansky,MP,"CP,  CS,  GHE,
PP","B, wU",mp
5027,"Bitúnok Čadca, s.r.o.",Čadca,Čadca,Žilinský,MP,"CP,  CS,  MM,
PP, RW, SH","A, DU","mp, rafg"
8111,"BRUTUS, s.r.o., Trebišov",Trebišov,Trebišov,Košický,MP,"CP,CS,PP,
SH","B, O, P","mp, rafg"
612,CIMBAĽÁK s.r.o.,Bardejov,Bardejov,Prešovský,MP,"CP,  CS,  MM,
PP","B, P",mp
8052,"DALTON, spol. s r.o.",Košice,Košice,Košický,MP,"CP,  CS,  MM,
PP, RW, SH","B, P","mp, rafg"
10018,DEVRAN s.r.o.,Matúškovo,Galanta,Trnavský,MP,"CP, CS",A,
8051,"ERIK, s.r.o.",Košice,Košice,Košický,MP,"CP,  CS,  MM,
PP, RW",DU,"mp, rafg"
1065,"EuroGen, spol. s r.o.","Plavecké
Podhradie",Malacky,Bratislavský,MP,"CP,  CS,  MM,
PP","A, B, fG, L, P",mp
80610,Food industry plus s.r.o.,Ploské,"Košice-
okolie",Košický,MP,"CS, PP","A, B, P",mp
8081,"GET group, s.r.o.",Rožňava,Rožňava,Košický,MP,"CP, CS, PP","B, O, P","mp, rafg"
8069,"Globaltrading Slovakia, s. r. o.",Rozhanovce,"Košice-
okolie",Košický,MP,"CP, CS, MSM,
RW","A, DU",
6131,"GROTTO, a.s.","Bartošova
Lehôtka","Žiarnad
Hronom",Banskobystrický,MP,"CS, PP, RW","A, B, P",mp
7021,"GVP, spol. s r.o. Humenné",Humenné,Humenné,Prešovský,MP,"CP,CS,PP,
RW","A, DU","mp, rafg"
136,"H S H, spoločnosť s ručením obmedzeným",Veľké Zálužie,Nitra,Nitriansky,MP,"CP,  CS,  MM,
MSM, PP, SH","A,  B,  L, P,  S,
wG",mp
10096,"Henrich  Przybylek,  Príprava  chladenej  hydiny  -
výroba hydinových mäsových prípravkov",Udiča,"Považská
Bystrica",Trenčiansky,MP,CS,A,
635,"HO&PE FAMILY, s.r.o.",Poprad,Poprad,Prešovský,MP,"CP,CS,PP,
RW","A, DU",mp
621,HÔRKA s.r.o.,"Trenčianska
Teplá",Trenčín,Trenčiansky,MP,"CP, CS, PP","A, B, P","mp, rafg"
70713,HURKA s.r.o.,Prešov,Prešov,Prešovský,MP,"CP, MM, PP",DU,"mp, rafg"
2017,"Hydina PIERKO, s.r.o.","Dunajská
Streda","Dunajská
Streda",Trnavský,MP,"CP, CS",A,
7037,"HYDINA SK s. r. o., Rozrábkareň mäsa domácich
kopytníkov",Kežmarok,Kežmarok,Prešovský,MP,"CP,  CS,  MM,
RW",P,
301,HYDINA SLOVENSKO s.r.o.,Košice,Košice,Košický,MP,"CP, CS, MSM,
SH",A,
106,HYZA. a.s.,Topoľčany,Topoľčany,Nitriansky,MP,"CP, CS, MSM,
PP, RW, SH",A,mp
61111,"Ing. Peter Badiar - BONUM, bitúnok, rozrábkareň",Budča,Zvolen,Banskobystrický,MP,"CP,  CS,  MM,
SH",B,
26,ISTERMEAT a.s.,"Dunajská
Streda","Dunajská
Streda",Trnavský,MP,"CP,  CS,  MM,
PP, SH","B, P","rafg,  st,
mp"
3092,"Jakub Ilavský, s. r. o.",Trenčín,Trenčín,Trenčiansky,MP,"CP,CS,PP,
RW",P,"mp, rafg"
6101,Ján Drugda,Veľký Krtíš,Veľký Krtíš,Banskobystrický,MP,"CP, PP",DU,"rafg, mp"
613,"JINEX, s.r.o.",Žilina,Žilina,Žilinský,MP,"CP, CS, PP","B, P","mp, rafg"
3045,Jumäs Trade s. r. o.,"NovéMesto
nad Váhom","Nové
Mesto
n.Váhom",Trenčiansky,MP,"CP,CS,PP,
RW","A, B, C, fG, O,
P,  R,  S,  wL,
wU","mp, rafg"
150,KUPEX spol. s r.o.,Voderady,Trnava,Trnavský,MP,"CP, CS, PP","A, P",mp
3096,"Lacnea Slovakia, s. r. o.",Trenčín,Trenčín,Trenčiansky,MP,"CP,CS,PP,
RW","A, DU","mp, rafg"
3097,LAPREMA Trnava s.r.o.,Trenčín,Trenčín,Trenčiansky,MP,"CP, CS, MSM,
PP, RW","A, B, P","mp, rafg"
5093,Mäsiarstvo PM,"Turčianske
Teplice","Turčianské
Teplice",Žilinský,MP,"CP,  CS,  MM,
PP","B, P","mp, rafg"
7064,Mäso - Tatry s. r. o.,"Spišská
Teplica",Poprad,Prešovský,MP,"CP,  CS,  MM,
PP","B, O","mp, rafg"
615,"Mäsokombinát NORD SVIT, s. r. o.",Svit,Poprad,Prešovský,MP,"CP,  CS,  MM,
PP, RW","B, P",mp
5065,Mäsovýroba Anton Kozák,Sučany,Martin,Žilinský,MP,"CP,  CS,  MM,
PP","A, B, O, P","mp, rafg"
51115,Mäsovýroba Bos Taurus,Žilina,Žilina,Žilinský,MP,"CP,  CS,  MM,
PP","B, P","mp, rafg"
66,Mäsovýroba Kopčany s. r. o.,Kopčany,Skalica,Trnavský,MP,"CP,CS,PP,
RW","B, C, O, P, S","mp, rafg"
7063,MÄSOVÝROBA ŠTEFAN KNIŽKA s.r.o.,Hranovnica,Poprad,Prešovský,MP,"CP,CS,PP,
RW","B, P","mp,
rafg ,"
5079,Mgr.Ing. Andrzej Janowiak,Hruštín,Námestovo,Žilinský,MP,PP,ALL,mp
1020,MUDr.Anton Orbán,Bratislava,"Bratislava
2",Bratislavský,MP,"CP,  CS,  GHE,
PP, RW",ALL,"mp, rafg"
5102,Peter Jendrášek,Trstená,Tvrdošín,Žilinský,MP,"CP, CS, PP",DU,"mp, rafg"
134,"Podtatranská hydina, a.s.",Kežmarok,Kežmarok,Prešovský,MP,"CP, CS, MSM,
PP, RW","A, DU","mp,"
61114,POZANA MEAT s.r.o.,Zvolen,Zvolen,Banskobystrický,MP,"CS, PP, RW","A, B, P",mp
3084,PÚCHOVSKÝ GAZDA s.r.o.,Púchov,Púchov,Trenčiansky,MP,"CS, PP",ALL,"mp, rafg"
3081,Púchovský mäsový priemysel a.s.Púchov,Púchov,Púchov,Trenčiansky,MP,"CP, CS, PP","A, DU","mp, rafg"
30717,"Putifars.r.o.,Spracovaniezverinyareál
AGROSPOL Diviaky nad Nitricou","Diviakynad
Nitricou",Prievidza,Trenčiansky,MP,"CP,  CS,  GHE,
PP","A, B, P",mp
8116,"Rozrábka a výroba mäsových výrobkov, FBR s. r.
o.","Kráľovský
Chlmec",Trebišov,Košický,MP,"CP, CS, PP",P,"mp, rafg"
7071,"Ryba Košice s.r.o., rozrábka Lemešany",Lemešany,Prešov,Prešovský,MP,"CP, CS, MM",DU,
281,"Spiš Market, spol. s r. o.","SpišskáNová
Ves","Spišská
Nová Ves",Košický,MP,"CS, MM, RW","A, B, P",
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,MP,"CP,  CS,  GHE,
MM, PP","B, C, fG, O, P,
wG, wU","mp, rafg"
630,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,MP,"CS, PP",ALL,mp
8106,"TAURIS, a.s., prevádzkareň MäsoSpiš","SpišskáNová
Ves","Spišská
Nová Ves",Košický,MP,"CS, MM, PP","A, B, P",mp
616,"V.M.MARLEX, s.r.o.","Kysucké  Nové
Mesto","Kysucké
Nové
Mesto",Žilinský,MP,"CP,CS,PP,
RW","A, DU","mp, rafg"
30718,"Viawork.eu, s.r.o.","Diviacka  Nová
Ves",Prievidza,Trenčiansky,MP,"CP,CS,PP,
RW","A, DU","mp,  rafg,
st"
68,VIJOFEL plus s. r. o.,Bartošovce,Bardejov,Prešovský,MP,"CP, CS, PP",DU,mp
8069,"Globaltrading Slovakia, s. r. o.",Rozhanovce,"Košice-
okolie",Košický,MSM,"CP,CS,MP,
RW",A,
136,"H S H, spoločnosť s ručením obmedzeným",Veľké Zálužie,Nitra,Nitriansky,MSM,"CP,CS,MM,
MP, PP, SH",A,mp
301,HYDINA SLOVENSKO s.r.o.,Košice,Košice,Košický,MSM,"CP,CS,MP,
SH",A,
106,HYZA. a.s.,Topoľčany,Topoľčany,Nitriansky,MSM,"CP,CS,MP,
PP, RW, SH",A,mp
3097,LAPREMA Trnava s.r.o.,Trenčín,Trenčín,Trenčiansky,MSM,"CP,CS,MP,
PP, RW",P,"mp, rafg"
4046,„Eko” bitúnok a rozrábkareň,Salka,Nové Zámky,Nitriansky,PP,"CP,CS,PP,
SH","B, P","mp, rafg"
2044,"AGROBAK, spol. s.r.o.",Drahovce,Piešťany,Trnavský,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
7107,"AGRO-HNIEZDNE,s.r.o.,prevádzkareň
Hospodársky dvor Forbasy",Forbasy,"Stará
Ľubovňa",Prešovský,PP,"CP,CS,PP,
SH","B, C, O, P","mp, rafg"
6064,"AGRO-IPEĽ, spol. s r.o.",Holiša,Lučenec,Banskobystrický,PP,"CP, CS,  GHE,
PP, SH","B, O, P, wU","mp, rafg"
6092,"AGROTRADE, spol. s r.o.",Veľký Blh,"Rimavská
Sobota",Banskobystrický,PP,"CP, CS, MP",DU,mp
2022,AH&MH s.r.o.,Sládkovičovo,Galanta,Trnavský,PP,"CP, CS, PP",DU,"mp, rafg"
7020,"ALTHAN, s.r.o.",Humenné,Humenné,Prešovský,PP,"CP, CS, PP","A, DU","mp, rafg"
2028,Alžbeta Ladovičová,Váhovce,Galanta,Trnavský,PP,"CP, PP",ALL,"mp, rafg"
1086,Alžbeta Matoková - ALMAT,Závod,Malacky,Bratislavský,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
7084,Anton Gargalik,Sabinov,Sabinov,Prešovský,PP,"CP, PP",ALL,"mp, rafg"
7082,"Anton Kollár, Mäsovýroba Tony",Jarovnice,Sabinov,Prešovský,PP,"CP, CS",DU,mp
5077,Anton Skurčák,"Oravská
Polhora",Námestovo,Žilinský,PP,"CP,  CS,  MM,
MP, PP","B, P","mp, rafg"
1081,Arpád Albert Bitúnok Senec,Senec,Senec,Bratislavský,PP,"CP, SH",ALL,mp
2012,Arpád Bognár Mäso údeniny,Nový život,"Dunajská
Streda",Trnavský,PP,CP,"B, C, O, P, S","mp, rafg"
51110,"ATLANTA Žilina 1992, s. r. o.",Žilina,Žilina,Žilinský,PP,"CP,CS,MP,
PP","A, DU","mp, rafg"
5084,"Autocar  Ťažné  zariadenie  s.  r.  o.,  Rozrábka  a
výroba mäsových výrobkov u Ňaňa",Ivachnová,Ružomberok,Žilinský,PP,"CP, CS,  GHE,
PP","DU,  wA,  wG,
wL, wU","mp, rafg"
50511,"BARTÁNUS-Mäso ÚDENINY, s.r.o.,
MäSOVÝROBA Svätý Kríž,",Svätý Kríž,"Liptovský
Mikuláš",Žilinský,PP,PP,ALL,"mp, rafg"
1060,"Berto sk, s. r. o.","Vysokápri
Morave",Malacky,Bratislavský,PP,"CP,  CS,  MM,
MP, RW","B, P",mp
3066,"Biely potok, a. s.",Tŕstie,"Považská
Bystrica",Trenčiansky,PP,"CP, CS,  GHE,
MP","B, wU",mp
70710,BIT STEK s. r. o.,Terňa,Prešov,Prešovský,PP,"CP, CS, PP",DU,"mp, rafg"
5027,"Bitúnok Čadca, s.r.o.",Čadca,Čadca,Žilinský,PP,"CP,  CS,  MM,
MP,  PP,  RW,
SH","A, DU","mp, rafg"
1089,"BITÚNOK TOMÁŠOV, s.r.o.",Tomášov,Senec,Bratislavský,PP,"CP,CS,PP,
SH","B, P","mp, rafg"
1021,"BOD, s.r.o.",Bratislava,Bratislava 2,Bratislavský,PP,PP,"A, DU",mp
8111,"BRUTUS, s.r.o., Trebišov",Trebišov,Trebišov,Košický,PP,"CP,CS,MP,
PP, SH","B, O, P","mp, rafg"
6041,"Bystriansky, s.r.o.",Detva,Detva,Banskobystrický,PP,"CP, CS, PP",P,"mp, rafg"
612,CIMBAĽÁK s.r.o.,Bardejov,Bardejov,Prešovský,PP,"CP,  CS,  MM,
MP","A, B, C, L, O,
P, S",mp
2057,"COOP Jednota Senica, spotrebné družstvo",Jablonica,Senica,Trnavský,PP,"CP, CS, PP",ALL,"mp, rafg"
3050,"COOP Jednota Topoľčany, spotrebné družstvo",Chynorany,Partizánske,Trenčiansky,PP,"CP, CS, PP",ALL,"mp, rafg"
8052,"DALTON, spol. s r.o.",Košice,Košice,Košický,PP,"CP,  CS,  MM,
MP,  PP,  RW,
SH","A, B, C, G, L,
O, P, S","mp, rafg"
624,DANUBIUS spol. s r.o.,Komárno,Komárno,Nitriansky,PP,"CP,CS,PP,
RW, SH","B, C, O, P, S","mp,  rafg,
st"
246,DELIKA s.r.o.,Prešov,Prešov,Prešovský,PP,"CS,MP,PP,
RW",ALL,"mp, rafg"
1041,DELIKATES – Imrich Jurišta,Bratislava,Bratislava 4,Bratislavský,PP,"CP, CS, PP",ALL,"mp, rafg"
20113,"DUNA-HÚS, s.r.o.",Šamorín,"Dunajská
Streda",Trnavský,PP,"CP, CS, PP","B, P","mp, rafg"
6134L,"EKO-Produkt, s.r.o.","Kremnické
Bane","Žiarnad
Hronom",Banskobystrický,PP,"CP,CS,PP,
SH","B, P","mp, rafg"
3065,"EKORAJ Ďurďové, s.r.o., Mäsová výroba, farma
Ďurďové",Ďurďové,"Považská
Bystrica",Trenčiansky,PP,"CS, MM",DU,mp
8051,"ERIK, s.r.o.",Košice,Košice,Košický,PP,"CP,  CS,  MM,
MP, PP, RW","B, C, O, P, S","mp, rafg"
5082,"ESPEVE 9, s.r.o.",Ružomberok,Ružomberok,Žilinský,PP,,ALL,mp
1065,"EuroGen, spol. s r.o.","Plavecké
Podhradie",Malacky,Bratislavský,PP,"CP,  CS,  MM,
MP","A, B, fG, L, P",mp
8073,"EXAPRO Energy spol. s r.o., Dobroty od gazdu",Michalovce,Michalovce,Košický,PP,"CS, PP","A, DU","mp, rafg"
3095,"FALCO, s.r.o.",Trenčín,Trenčín,Trenčiansky,PP,"CP, CS, RW","A, DU","mp, rafg"
5092,"FARMA Zliechov, spol. s r.o.",Bodorová,"Turčianské
Teplice",Žilinský,PP,"CP, CS, PP",DU,"mp, rafg"
2014,FEJES OTTO A SYN s.r.o.,"Blatnána
Ostrove","Dunajská
Streda",Trnavský,PP,"CP,CS,PP,
SH","B, P","mp, rafg"
2020,Fekollini s.r.o.,Sládkovičovo,Galanta,Trnavský,PP,,ALL,mp
80610,Food industry plus s.r.o.,Ploské,"Košice-
okolie",Košický,PP,"CS, MP","A, B, P",mp
8108,"Forspiš-mäso Výroba s.r.o., Mäsovýroba",Markušovce,"Spišská
Nová Ves",Košický,PP,"CS, PP, RW",DU,"mp, rafg"
2036,František Lukáčik Mäso údeniny-potraviny,Leopoldov,Hlohovec,Trnavský,PP,"CP, CS, PP",DU,"mp, rafg"
8103,František Marton,Krompachy,"Spišská
Nová Ves",Košický,PP,"CP, CS, PP",DU,"mp, rafg"
6132,"GASTRO SK, s. r. o.","Žiarnad
Hronom","Žiarnad
Hronom",Banskobystrický,PP,"CS, PP",DU,"mp, FP"
8081,"GET group, s.r.o.",Rožňava,Rožňava,Košický,PP,"CP,CS,MP,
PP","B, O, P","mp, rafg"
