Schvaľovacie číslo / Approval number,Nazov / Name,Mesto / Town,"Okres /
6131,"GROTTO, a.s.","Bartošova
Lehôtka","Žiarnad
Hronom",Banskobystrický,PP,"CS, MP, RW","A, B, P",mp
7104,"GSL - SK, s.r.o.",Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,PP,"CP, CS, PP","A, B, O, P","mp, rafg"
6114,"Gurman - ZV s. r. o.,",Breziny,Zvolen,Banskobystrický,PP,"CP,CS,PP,
RW",DU,"mp, rafg"
7021,"GVP, spol. s r.o. Humenné",Humenné,Humenné,Prešovský,PP,"CP,CS,MP,
PP, RW","A, DU, G","mp, rafg"
136,"H S H, spoločnosť s ručením obmedzeným",Veľké Zálužie,Nitra,Nitriansky,PP,"CP,  CS,  MM,
MP, MSM, SH","A,B,P,S,
wA, wU",mp
5024,"hamsal, s.r.o.",Čadca,Čadca,Žilinský,PP,"CP, CS, PP","A, DU, wU","mp, rafg"
635,"HO&PE FAMILY, s.r.o.",Poprad,Poprad,Prešovský,PP,"CP,CS,MP,
RW",ALL,mp
621,HÔRKA s.r.o.,"Trenčianska
Teplá",Trenčín,Trenčiansky,PP,"CP,CS,MP,
PP","A, B, P","mp, rafg"
70713,HURKA s.r.o.,Prešov,Prešov,Prešovský,PP,"CP,  MM,  MP,
PP",ALL,"mp, rafg,"
8022,"HYDINA SK s.r.o., Výrobňa trvanlivých mäsových
výrobkov",Košice,Košice,Košický,PP,CS,"B,O,P,S,
wU",mp
106,HYZA. a.s.,Topoľčany,Topoľčany,Nitriansky,PP,"CP,CS,MP,
MSM, RW, SH",A,mp
4065,Igor Božik IB mäso,Vozokany,Topoľčany,Nitriansky,PP,"CP,  CS,  MM,
PP","A, DU","mp, rafg"
2029,Imrich Forró,Váhovce,Galanta,Trnavský,PP,"CP, PP",ALL,"mp, rafg"
7122,Ing. Ján Potoma,Stropkov,Stropkov,Prešovský,PP,,"B, P",mp
628,Ing. Peter Ertel Mäsovýroba Koš,Koš,Prievidza,Trenčiansky,PP,CP,"B, P",mp
8010,Ing. Stanislav Marcinek,Gelnica,Gelnica,Košický,PP,"CP,  CS,  MM,
PP, SH",ALL,"mp,st,
rafg"
26,ISTERMEAT a.s.,"Dunajská
Streda","Dunajská
Streda",Trnavský,PP,"CP,  CS,  MM,
MP, PP, SH",ALL,"mp,  rafg,
st"
3092,"Jakub Ilavský, s. r. o.",Trenčín,Trenčín,Trenčiansky,PP,"CP,CS,MP,
PP, RW","A, B, P","mp, rafg"
6101,Ján Drugda,Veľký Krtíš,Veľký Krtíš,Banskobystrický,PP,"CP, MP, PP",DU,"mp, rafg"
7124,Ján Varga – MÄSO ESO,Stropkov,Stropkov,Prešovský,PP,"CP, CS, PP",DU,"mp, rafg"
3079,"Jaroslav Páleš Mäsovýroba „Zlatý býk""",Bojnice,Prievidza,Trenčiansky,PP,"CP, CS, PP","B, C, O, P","mp, rafg"
7076,Jaroslav Petruš - Kropet,Veľký Šariš,Prešov,Prešovský,PP,"CP, CS, PP",DU,"mp, rafg"
613,"JINEX, s.r.o.",Žilina,Žilina,Žilinský,PP,"CP, CS, MP","A, B, C, G, O,
P, S","mp, rafg"
5118,Jozef Machciník MAJOVEY,Žilina - Bánová,Žilina,Žilinský,PP,"CP, CS, PP",ALL,"mp, rafg"
3045,Jumäs Trade s. r. o.,"NovéMesto
nad Váhom","Nové  Mesto
n.Váhom",Trenčiansky,PP,"CP,CS,MP,
PP, RW","A,  B,  C,  fG,
O,P,R,S,
wG, wL, wU","mp, rafg"
4055,K&T mäso spol. s r. o.,Tešedíkovo,Šaľa,Nitriansky,PP,"CP, CS, PP",ALL,"mp, rafg"
9-118,"KORO, s.r.o.","Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,PP,PP,"ALL, FP",mp
150,KUPEX spol. s r.o.,Voderady,Trnava,Trnavský,PP,"CP, CS, MP","A, P",mp
3096,"Lacnea Slovakia, s. r. o.",Trenčín,Trenčín,Trenčiansky,PP,"CP,CS,MP,
PP, RW","A, DU, wU","mp, rafg"
3076,Ladislav Borko Mäsiarstvo u Borku,Prievidza,Prievidza,Trenčiansky,PP,"CP, CS, MP",DU,mp
7041,Ladislav Kočík,Studenec,Levoča,Prešovský,PP,"CP,CS,PP,
SH","B, P","mp, rafg,"
3097,LAPREMA Trnava s.r.o.,Trenčín,Trenčín,Trenčiansky,PP,"CP,CS,MP,
MSM, PP, RW","A, B, P, wU","mp, rafg"
5056,LEN-SK a.s.,"Liptovský
Hrádok","Liptovský
Mikuláš",Žilinský,PP,,DU,mp
5058,LIPTOV FOOD s. r. o.,Uhorská Ves,"Liptovský
Mikuláš",Žilinský,PP,"CS, PP",P,"mp, rafg"
6056,Ľubomír Lapin a.s.,Krupina,Krupina,Banskobystrický,PP,"CP,CS,PP,
RW","B, O, P","mp, rafg"
6115,Ľubomír Václavík - PASMA,Hriňová,Detva,Banskobystrický,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
6102,M - NOVOMAX - D s.r.o.,Bušince,Veľký Krtíš,Banskobystrický,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
4064,"M - TEAM, s.r.o.",Jacovce,Topoľčany,Nitriansky,PP,"CP, CS, PP",DU,"mp, rafg"
20310,"Majster mäsiar, s.r.o.",Hlohovec,Hlohovec,Trnavský,PP,"CP, CS, PP","A, DU","mp, rafg"
4016L,"Mangalica farma, s.r.o., so sídlom Pavlov Dvor",Hurbanovo,Komárno,Nitriansky,PP,"CP,CS,PP,
SH","B,C,O,P,
wU","mp, rafg"
7023,"MáriaJancuskováMÄSOÚDENINY,
MÄSOVÝROBA REBEJ","Modranad
Cirochou",Humenné,Prešovský,PP,CS,"A, DU","mp, rafg"
3094,Marián Janík,"Trenčianske
Teplice",Trenčín,Trenčiansky,PP,"CP, CS","A, DU","mp, rafg"
4071,MATEJOV s.r.o.,Zlaté Moravce,"Zlaté
Moravce",Nitriansky,PP,"CP, PP, SH","A, DU","mp,  rafg,
st"
5036,"MAXXI, s.r.o.",Zázrivá,Dolný Kubín,Žilinský,PP,CS,,mp
5093,Mäsiarstvo PM,"Turčianske
Teplice","Turčianské
Teplice",Žilinský,PP,"CP,  CS,  MM,
MP, PP","A, B, P","mp, rafg"
7064,Mäso - Tatry s. r. o.,"Spišská
Teplica",Poprad,Prešovský,PP,"CP,  CS,  MM,
MP, PP","B, P","mp, rafg"
50510,Mäso Liptov s.r.o.,"Liptovský
Hrádok","Liptovský
Mikuláš",Žilinský,PP,"CP, CS, RW",DU,mp
5053,"Mäso Lúžna, s.r.o.","Liptovská
Lúžna",Ružomberok,Žilinský,PP,"CP, CS, PP","B, P","mp, rafg"
4038,"Mäso Melek, s.r.o., Melek 231, 952 01 Melek",Melek,Nitra,Nitriansky,PP,"CP,CS,PP,
SH","B, C, O, P, S","mp,  rafg,
st"
5062,"MÄSO PARÍŽEK, s.r.o.",Martin,Martin,Žilinský,PP,"CP, PP",ALL,"mp, rafg"
8071,"Mäso ZEMPLÍN, a.s.",Michalovce,Michalovce,Košický,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
2013,"MÄSOCENTRUM, s.r.o.",Dolný Štál,"Dunajská
Streda",Trnavský,PP,"CP, PP, SH",ALL,"mp, rafg"
615,"Mäsokombinát NORD SVIT, s. r. o.",Svit,Poprad,Prešovský,PP,"CP,  CS,  MM,
MP, RW","A, B, O, P",mp
30712,MäsoPonitrie SK s. r. o.,"Lehotapod
Vtáčnikom",Prievidza,Trenčiansky,PP,"CP, CS, PP",DU,"mp, rafg"
20512,Mäsovinky s.r.o.,Jablonica,Senica,Trnavský,PP,"CP,  CS,  MM,
PP","A,DU,fG,
wA, wG, wU","mp, rafg"
5065,Mäsovýroba Anton Kozák,Sučany,Martin,Žilinský,PP,"CP,  CS,  MM,
MP, PP","A, B, O, P","mp, rafg"
51115,Mäsovýroba Bos Taurus,Žilina,Žilina,Žilinský,PP,"CP,  CS,  MM,
MP, PP","B, fG, P","mp, rafg"
7061,"MÄSOVÝROBA DONČÁK, s. r. o.",Kravany,Poprad,Prešovský,PP,"CP, CS, PP","B, P","mp, rafg"
66,Mäsovýroba Kopčany s. r. o.,Kopčany,Skalica,Trnavský,PP,"CP,CS,MP,
PP, RW","A,  B,  C,  fG,
O,  P,  S,  wA,
wG, wL, wU","mp, rafg"
6012,Mäsovýroba Medzibrod,Medzibrod,"Banská
Bystrica",Banskobystrický,PP,"CP, CS, PP","B, O, P, wU","mp, rafg"
4057,"Mäsovýroba PATA s.r.o., Prevádzkareň Močenok",Močenok,Šaľa,Nitriansky,PP,"CS, PP","A, DU","mp, rafg"
5064,Mäsovýroba s.r.o.,Sklabiňa,Martin,Žilinský,PP,"CP, CS, PP","B, P","mp, rafg"
7063,MÄSOVÝROBA ŠTEFAN KNIŽKA s.r.o.,Hranovnica,Poprad,Prešovský,PP,"CP,CS,MP,
PP, RW","A,  B,  fG,  P,
wU","mp, rafg,"
4059,"Mäsovýroba VEPI, s. r. o.",Šaľa,Šaľa,Nitriansky,PP,"CP,CS,PP,
RW","A, DU","mp, rafg"
2043,"Mäsovýroba Vrbové, s.r.o.",Vrbové,Piešťany,Trnavský,PP,"CP, CS, PP","B, P","mp, rafg"
51114,Mäsovýrobňa,Višňové,Žilina,Žilinský,PP,"CP, CS",DU,mp
7012,MÄSPOL s.r.o.,Kľušov,Bardejov,Prešovský,PP,,ALL,mp
6061,MECOM GROUP s.r.o.,Lučenec,Lučenec,Banskobystrický,PP,CS,"A, B, P",mp
63,MECOM GROUP s.r.o.,Humenné,Humenné,Prešovský,PP,"CS, RW","A, DU",mp
5079,Mgr.Ing. Andrzej Janowiak,Hruštín,Námestovo,Žilinský,PP,MP,ALL,mp
5034,Michal Polunc,"Oravský
Podzámok",Dolný Kubín,Žilinský,PP,,ALL,mp
1051,Michal Raninec - MIRAN,Bratislava,Bratislava 5,Bratislavský,PP,"CP, CS, PP",ALL,"mp, rafg"
4053,"MIK, s.r.o.",Šaľa,Šaľa,Nitriansky,PP,"CP, CS, PP","A, DU, P","mp, rafg"
5055,"MIKONMIKULÁŠ, s. r. o.","Liptovský
Mikuláš","Liptovský
Mikuláš",Žilinský,PP,"CP, CS, PP",DU,"mp, rafg"
6081,Mikuláš Čupka - M.K.M. mäso REVÚCA,Revúca,Revúca,Banskobystrický,PP,CP,ALL,mp
7032,"MIROND, spol. s r.o. Kežmarok",Kežmarok,Kežmarok,Prešovský,PP,"CP,CS,PP,
SH","B, P","mp, rafg"
5076,"MiroslavKubicaMÄSO-UDENINY,Bitúnok,
mäsová výroba",Zákamenné,Námestovo,Žilinský,PP,"CP,CS,PP,
SH","B, O","mp, rafg,"
4067,"Miroslav Kyjaci jn., Mäsovýroba",Topoľčany,Topoľčany,Nitriansky,PP,,DU,mp
3078,Miroslav Vrban - TEMPO,"Nitrianske
Rudno",Prievidza,Trenčiansky,PP,"CP, CS, PP",ALL,"mp, rafg"
4069,"MV MARTON, s.r.o.",Továrniky,Topoľčany,Nitriansky,PP,"CP,CS,MP,
PP","A, DU","mp, rafg"
13,Nestlé Slovensko s.r.o.,Prievidza,Prievidza,Trenčiansky,PP,,"A, B, P",pap
625,"NOVOFRUCT SK, s.r.o.",Nové Zámky,Nové Zámky,Nitriansky,PP,PP,"A,  B,  FP,  L,
O, P",mp
7070,"OB mäsovýroba, s.r.o.",Lemešany,Prešov,Prešovský,PP,"CP, CS, PP",DU,"mp, rafg"
1083,Pavol Šišolák,Gajary,Malacky,Bratislavský,PP,"CP, PP, SH",ALL,"mp, rafg"
3013,"PD „BREZINA“ PRAVOTICE, družstvo",Pravotice,"Bánovce
nad
Bebravou",Trenčiansky,PP,"CP, CS,  GHE,
PP","B, P, wU","mp, rafg"
4044,"Peter Bernáth - mäso, údeniny",Nová Vieska,Nové Zámky,Nitriansky,PP,"CP, CS, PP",ALL,"mp, rafg"
5102,Peter Jendrášek,Trstená,Tvrdošín,Žilinský,PP,"CP,CS,MP,
PP",DU,"mp, rafg"
2027,Peter Moťovský - Mäso MO-PO,Topoľnica,Galanta,Trnavský,PP,"CP, CS, PP",DU,"mp, rafg"
2042,Peter Varga - P + E,Piešťany,Piešťany,Trnavský,PP,"CP, CS, PP",DU,"mp, rafg"
2077,Peter Vaško,Brestovany,Trnava,Trnavský,PP,PP,ALL,"mp, rafg"
134,"Podtatranská hydina, a.s.",Kežmarok,Kežmarok,Prešovský,PP,"CP,CS,MP,
MSM, RW","A, B, P",mp
7102,"POĽANA-podielníckedružstvoJarabina,
Mäsiarstvo Jarabina",Jarabina,"Stará
Ľubovňa",Prešovský,PP,"CP, PP, SH",DU,"mp,  rafg,
st"
8102,"Poľnohospodárske družstvo ""Čingov"" Smižany","Spišské
Tomášovce","Spišská
Nová Ves",Košický,PP,"CP,CS,PP,
SH",DU,"mp,  rafg,
st"
5061,"Poľnohospodárske  družstvo  ""SNP"" so  sídlom v
Sklabini, okres Martin",Sklabiňa,Martin,Žilinský,PP,"CP, PP",ALL,"mp, rafg"
3023,Poľnohospodárske družstvo Bolešov,Bolešov,Ilava,Trenčiansky,PP,"CS, PP",ALL,"mp, rafg"
70715,"Poľnohospodárske družstvo Branisko v Širokom,
Mäsovýroba Hrabkov",Hrabkov,Prešov,Prešovský,PP,"CP, CS, PP","B, C, O, P","mp, rafg"
2035,Poľnohospodárske družstvo Hlohovec,Hlohovec,Hlohovec,Trnavský,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
2041,Poľnohospodárske družstvo Chtelnica,Chtelnica,Piešťany,Trnavský,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
5052,"Poľnohospodárske  družstvo  Lisková  -  Sliače,
družstvo",Lisková,Ružomberok,Žilinský,PP,"CP,CS,PP,
SH",DU,"mp, rafg"
5011,"Potravinárska výrobňa a predajňa - Chuťovky na
stôl",Bytča,Bytča,Žilinský,PP,CS,"A, DU",mp
61114,POZANA MEAT s.r.o.,Zvolen,Zvolen,Banskobystrický,PP,"CS, MP, RW","A,B,O,P,
wU",mp
61115,POZANA MEAT s.r.o.,Zvolen,Zvolen,Banskobystrický,PP,"CS, PP","A, B, P, wU","mp, rafg"
3084,PÚCHOVSKÝ GAZDA s.r.o.,Púchov,Púchov,Trenčiansky,PP,"CS, MP, PP",ALL,"mp, rafg"
3081,Púchovský mäsový priemysel a.s.Púchov,Púchov,Púchov,Trenčiansky,PP,"CP,CS,MP,
PP","A, B, C, O, P,
S","mp, rafg"
30717,"Putifars.r.o.,Spracovaniezverinyareál
AGROSPOL Diviaky nad Nitricou","Diviakynad
Nitricou",Prievidza,Trenčiansky,PP,"CP, CS,  GHE,
MP","A, B, P",mp
1042,Raninec Michal-MIRAN,Bratislava,Bratislava 4,Bratislavský,PP,,ALL,mp
4036,"REFKA, s.r.o., bitúnok Mojmírovce",Mojmírovce,Nitra,Nitriansky,PP,"CS, PP","B, P","mp, rafg"
2071,Róbert Gašparík - mäsovýroba s.r.o.,Trnava,Trnava,Trnavský,PP,CP,"A, B, C, O, P,
S",mp
2038,Róbert Gašparík – mäsovýroba s.r.o.,Trnava,Trnava,Trnavský,PP,CS,"A, B, P",mp
3010,Róbert Šiko - Mäso-údeniny,"Bánovcenad
Bebravou","Bánovce
nad
Bebravou",Trenčiansky,PP,"CP, CS, PP","A, DU","mp, rafg"
8116,"Rozrábka a výroba mäsových výrobkov, FBR s. r.
o.","Kráľovský
Chlmec",Trebišov,Košický,PP,"CP,CS,MP,
PP",P,"mp, rafg"
9-90,RYBA Košice spol. s r.o.,Košice,Košice,Košický,PP,"CS, PP, RW",ALL,"M, mp"
7101,SEPP trade. s.r.o.,Stará Ľubovňa,"Stará
Ľubovňa",Prešovský,PP,"CP,CS,PP,
RW, SH","A, B, C, O, P","mp,  rafg,
st"
5054,"SilviaJánošíková-RUDOLFJÁNOŠÍK
MÄSOPRODUKT",Ružomberok,Ružomberok,Žilinský,PP,"CP, CS, PP",ALL,"mp, rafg"
5087,Simona Andreidesová - FARMA FÉNIX,Ružomberok,Ružomberok,Žilinský,PP,"CP, CS, PP","B, P","mp, rafg"
5114,"SOBČIAK, spol. s r. o.","Žilina-
Závodie",Žilina,Žilinský,PP,"CP, CS, PP","A, DU","mp, rafg"
6066,"SS - GROUPE, s.r.o.",Rapovce,Lučenec,Banskobystrický,PP,"CP, CS,  GHE,
MM, MP, PP","B, C, fG, O, P,
wG, wU","mp, rafg"
8101,"Stanica výkrmnosti a jatočnej hodnoty ošípaných,
s.r.o.","Spišské
Vlachy","Spišská
Nová Ves",Košický,PP,"CP,CS,PP,
SH","B, P","rafg, mp"
630,SVAMAN spol. s r.o.,Myjava,Myjava,Trenčiansky,PP,"CS, MP","B, C, fG, O, P,
S, wU",mp
7072,"ŠAGÁT, spol.s r.o.",Malý Šariš,Prešov,Prešovský,PP,"CP, CS","A, B, P","mp, rafg"
611,TATRAKON spol. s r.o.,Poprad,Poprad,Prešovský,PP,CS,"A,  B,  C,  fG,
FP, O, P, S",mp
15,TAURIS NITRIA spol. s r.o.,Mojmírovce,Nitra,Nitriansky,PP,,"B, C, O, P, S",mp
618,"TAURIS, a.s.","Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,PP,"CP, CS, RW","A, DU",mp
8106,"TAURIS, a.s., prevádzkareň MäsoSpiš","SpišskáNová
Ves","Spišská
Nová Ves",Košický,PP,"CS,  MM,  MP,
RW","B, P",mp
4043,Tibor Kovács - K & K mäso,Nová Vieska,Nové Zámky,Nitriansky,PP,"CP, CS, PP",DU,"mp, rafg"
616,"V.M.MARLEX, s.r.o.","Kysucké  Nové
Mesto","Kysucké
Nové Mesto",Žilinský,PP,"CP,CS,MP,
PP, RW","A, DU","mp, rafg"
1053,"VER BEST Consulting, s. r. o.",Bratislava V.,Bratislava 5,Bratislavský,PP,CS,P,mp
30718,"Viawork.eu, s.r.o.","Diviacka  Nová
Ves",Prievidza,Trenčiansky,PP,"CP,CS,MP,
PP, RW","A, DU","mp,  rafg,
st"
68,VIJOFEL plus s. r. o.,Bartošovce,Bardejov,Prešovský,PP,"CP, CS, MP","A, DU",mp
1080,"VÍNO MATYŠÁK, s.r.o.",Pezinok,Pezinok,Bratislavský,PP,"CP, CS, PP",ALL,"mp, rafg"
3077,"VJARSPOL, s.r.o.","Nitrianske
Pravno",Prievidza,Trenčiansky,PP,"CP, PP, SH",ALL,"mp, rafg"
6021,Vladimír Stračina MÄSIAR - ÚDENÁR,Banská Belá,"Banská
Štiavnica",Banskobystrický,PP,"CP, CS,  GHE,
PP","DU, wU","mp, rafg"
SK-MI 6-3,"AGRO - BIO s.r.o., Závadka",Závadka,Michalovce,Košický,EPC,,A,
SK-VH-KN-02,"Agrodružstvo Kameničná, farma Decsi",Kameničná,Komárno,Nitriansky,EPC,CS,A,
10127,Agro-družstvo Klokoč,Klokoč,Detva,Banskobystrický,EPC,,A,
SK-TN 1-6,Agrokombinát a.s.,Veľké Bierovce,Trenčín,Trenčiansky,EPC,,A,
SK-VK 6-1,"Babičkin dvor, a.s.",Veľký Krtíš,Veľký Krtíš,Banskobystrický,EPC,CS,A,
SK-TT 1-6,Biogal a.s.,Špačince,Trnava,Trnavský,EPC,,,
SK-TV 6-1,Blažej Hrubovský,Malý Ruskov,Trebišov,Košický,EPC,,A,
SK 182 ES,DUGY plus s.r.o.,Prešov,Prešov,Prešovský,EPC,"CS, RW",A,
SK-KS 6-1,"Eggro-farm, s. r. o.","Košická
Polianka","Košice-
okolie",Košický,EPC,,A,
1 SK-NM 6-1,"FarmaJandechDolina,MiroslavJakubec,
farmár,",Priepasné,Myjava,Trenčiansky,EPC,,A,
10065,"FARMA Zliechov, spol. s r.o.",Bodorová,"Turčianské
Teplice",Žilinský,EPC,,A,
286,"FIN PLUS, spol. s r.o.",Žilina,Žilina,Žilinský,EPC,,A,
SK-NR 1-6,Hybrav a.s.,Veľký Lapaš,Nitra,Nitriansky,EPC,,A,
SK 223 ES,Hydina Holding s.r.o.,Ružomberok,Ružomberok,Žilinský,EPC,,,
10045,"HYDINA HOLDING, s.r.o.",Kežmarok,Kežmarok,Prešovský,EPC,"CS, LEP",A,
SK-SI 1-6,HYDINÁR a.s.,Gbely,Skalica,Trnavský,EPC,,A,
SK BB 6-1,"Hydinová  farma  Pačanský  s.r.o.,  hospodársky
dvor Čačín",Čačín,"Banská
Bystrica",Banskobystrický,EPC,CS,A,
SK-KA 6-1,Ing. Štefan Ukrop - AGROUKDO,"Krupina -  časť
Bebrava",Krupina,Banskobystrický,EPC,RW,A,
SK-ZV 6-1,Ing. Štefan Ukrop - AGROUKDO,Krupina,Krupina,Banskobystrický,EPC,,A,
SK-VT 6-1,Ján Gurega,Vechec,"Vranovnad
Topľou",Prešovský,EPC,,A,
SK-PU 6-1,JANEK s.r.o.,Púchov,Púchov,Trenčiansky,EPC,,A,
SK-TN 6-1,JANEK s.r.o.,"Trenčianske
Stankovce",Trenčín,Trenčiansky,EPC,,A,
SK LE 6-1,"JANEKs.r.o.,HydinárskafarmaSpišské
Podhradie","Spišské
Podhradie",Levoča,Prešovský,EPC,,A,
10119,Kamil Vidiščák - PKV,Chotča,Stropkov,Prešovský,EPC,,A,
SK-NR 6-3,"Liaharenský podnik Nitra, a.s, farma Jarok",Nitra,Nitra,Nitriansky,EPC,,A,
10021,"MACH HYDINA BUDMERICE, s.r.o., farma Nový
Pavol",Budmerice,Komárno,Nitriansky,EPC,,A,
10011,Martin Trabalka,Vavrečka,Námestovo,Žilinský,EPC,,A,
SK-DS 6-1,"Medzičilizie, a.s.","Čiližská
Radvaň","Dunajská
Streda",Trnavský,EPC,,A,
241,Michal Dominik - DOVAJ,Rožňava,Rožňava,Košický,EPC,CS,A,
SK-NZ 1-6,NOVOGAL a.s.,"Dvorynad
Žitavou",Nové Zámky,Nitriansky,EPC,,,
SK-LV 1-6,"Novogal Dvory nad Žitavou, a.s.",Levice,Levice,Nitriansky,EPC,,A,
SK-LV 6-1,"Poľnohospodárske družstvo ""Pokrok"", Triediareň
vajec","Tekovské
Lužany",Levice,Nitriansky,EPC,,A,
SK-KN 1-6,Poľnohospodárske družtvo Kolárovo,Kolárovo,Komárno,Nitriansky,EPC,,,
SK-SC 1-6,ProOvo a.s.,Bernolákovo,Senec,Bratislavský,EPC,,,
SK-LC 1-6,"Rimgal, spol. s r.o., Triediareň Nové Hony",Nové Hony,Lučenec,Banskobystrický,EPC,,A,
SK-KS 1-6,"Rudolf Pöhm, Pöhm & Göbl",Medzev,"Košice-
okolie",Košický,EPC,,A,
SK - MT 6-2,"SHP a. s., triediareň vajec Horná štubňa",Horná štubňa,"Turčianské
Teplice",Žilinský,EPC,,A,
SK-RS 1-6,Triediareň vajec Spohypo Rimavská Sobota a.s.,"Rimavská
Sobota","Rimavská
Sobota",Banskobystrický,EPC,,A,
10116,Triediareň vajec Tešedíkovo,Tešedíkovo,Šaľa,Nitriansky,EPC,,A,
SK - BJ 6 - 3,Valerián Mihňák,Koprivnica,Bardejov,Prešovský,EPC,RW,A,
227,"Promt SR, s.r.o.",Prešov,Prešov,Prešovský,PP,"CS, PP",A,
289,"Výroba vaječných výrobkov, Vector Invest, s.r.o.,",Prešov,Prešov,Prešovský,PP,"CS, LEP",A,
10045,"HYDINA HOLDING, s.r.o.",Kežmarok,Kežmarok,Prešovský,LEP,"CS, EPC",A,
10053,MPC PLUS spol. s r.o.,"SpišskáNová
Ves","Spišská
Nová Ves",Košický,LEP,CS,A,
